['0.04:-0.79:0.00', '0.09:0.12:0.19', '0.07:-0.11:0.00', '0.02:0.12:0.02', '0.03:0.09:0.08', '0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04']['1:1:0', '1:1:1']
['0.09:0.12:0.19', '0.07:-0.11:0.00', '0.02:0.12:0.02', '0.03:0.09:0.08', '0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04']['1:1:1', '1:1:0']
['0.07:-0.11:0.00', '0.02:0.12:0.02', '0.03:0.09:0.08', '0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02']['1:1:0', '0:0:0']
['0.02:0.12:0.02', '0.03:0.09:0.08', '0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05']['0:0:0', '0:0:0']
['0.03:0.09:0.08', '0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07']['0:0:0', '0:0:0']
['0.00:-0.21:0.02', '0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01']['0:0:0', '0:0:0']
['0.00:-0.17:0.00', '0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03']['0:0:0', '0:0:0']
['0.00:-0.25:0.02', '0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00']['0:0:0', '0:0:0']
['0.04:0.00:0.02', '0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03']['0:0:0', '0:0:0']
['0.04:0.21:0.02', '0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03']['0:0:0', '0:0:0']
['0.00:0.07:0.08', '0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00']['0:0:0', '0:0:0']
['0.00:-0.13:0.04', '0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05']['0:0:0', '0:0:0']
['0.00:-0.15:0.06', '0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01']['0:0:0', '0:0:0']
['0.03:0.14:0.02', '0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01']['0:0:0', '0:0:0']
['0.05:-0.02:0.03', '0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03']['0:0:0', '0:0:0']
['0.10:0.11:0.03', '0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00']['0:0:0', '0:0:0']
['0.02:-0.26:0.04', '0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01']['0:0:0', '0:0:0']
['0.00:0.35:0.08', '0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.07:-0.16:0.13', '0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.14:-0.02:0.03', '0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.14:-0.01:0.09', '0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.01:-0.24:0.11', '0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.00:-0.11:0.09', '0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.01:-0.04:0.13', '0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
['0.05:-0.34:0.06', '0.11:0.16:0.11', '0.08:0.04:0.17', '0.00:0.22:0.06', '0.06:-0.16:0.01', '0.05:0.02:0.00', '0.06:-0.06:0.00', '0.00:0.20:0.00', '0.13:0.04:0.00', '0.03:0.06:0.01', '0.03:-0.11:0.00', '0.06:0.05:0.00', '0.02:0.08:0.02', '0.04:-0.08:0.00', '0.00:-0.03:0.04', '0.01:-0.07:0.04', '0.01:0.05:0.04', '0.04:-0.01:0.02', '0.08:-0.01:0.05', '0.07:-0.03:0.07', '0.01:-0.45:0.01', '0.16:0.01:0.03', '0.01:0.25:0.00', '0.10:-0.33:0.03', '0.00:0.28:0.03', '0.15:0.13:0.00', '0.08:-0.03:0.05', '0.01:0.10:0.01', '0.02:0.09:0.01', '0.02:0.07:0.03', '0.03:0.08:0.00', '0.00:-0.03:0.01', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00', '0.00:0.00:0.00']['0:0:0', '0:0:0']
